lat,lon,time,score
43.25,76.93,2026-04-03 20:00,0
43.23,76.94,2026-04-03 20:00,0
43.7,77.03,2026-04-03 20:00,0
43.43,77.02,2026-04-03 20:00,0
43.19,76.87,2026-04-03 20:00,0
43.26,76.93,2026-04-03 20:00,0
43.36,76.87,2026-04-03 20:00,0
43.67,77.16,2026-04-03 20:00,0
43.69,77.19,2026-04-03 20:00,0
43.67,77.11,2026-04-03 20:00,0
43.48,77.04,2026-04-03 20:00,0
43.4,77.59,2026-04-03 20:00,0
43.6,77.86,2026-04-03 20:00,0
43.82,77.53,2026-04-03 20:00,0
43.72,77.5,2026-04-03 20:00,0
43.42,76.99,2026-04-03 20:00,0
43.42,76.98,2026-04-03 20:00,0
43.23,76.78,2026-04-03 20:00,7
42.87,74.53,2026-04-03 20:00,0
42.87,74.52,2026-04-03 20:00,0
48.72,2.33,2026-04-03 20:00,0
48.72,2.33,2026-04-03 21:00,0
48.72,2.31,2026-04-03 21:00,5
43.26,76.93,2026-04-03 21:00,0
